date,sector,compra,compra_pc,venda,net,net_pc
2006-06-12,Bancos,378697,83.75,60997,317700,70.26
2006-06-12,DTVM'S e Corretoras de Valores,17639,3.9,900,16739,3.6999999999999997
2006-06-12,Invest Institucional Nacional,51739,11.44,6694,45045,9.959999999999999
2006-06-12,Investidores Não Residentes,730,0.16,790,-60,-0.010000000000000009
2006-06-13,Banco Central,3350,0.74,382774,-379424,-83.92
2006-06-13,Bancos,378697,83.75,60997,317700,70.26
2006-06-13,DTVM'S e Corretoras de Valores,17639,3.9,900,16739,3.6999999999999997
2006-06-13,Invest Institucional Nacional,51739,11.44,6694,45045,9.959999999999999
2006-06-13,Investidores Não Residentes,730,0.16,790,-60,-0.010000000000000009
2006-06-14,Banco Central,3350,0.74,382774,-379424,-83.92
2006-06-14,Bancos,378697,83.75,60997,317700,70.26
2006-06-14,DTVM'S e Corretoras de Valores,17639,3.9,900,16739,3.6999999999999997
2006-06-14,Invest Institucional Nacional,51739,11.44,6694,45045,9.959999999999999
2006-06-14,Investidores Não Residentes,730,0.16,790,-60,-0.010000000000000009
2006-06-16,Banco Central,3350,0.74,382774,-379424,-83.92
2006-06-16,Bancos,378697,83.75,60997,317700,70.26
2006-06-16,DTVM'S e Corretoras de Valores,17639,3.9,900,16739,3.6999999999999997
2006-06-16,Invest Institucional Nacional,51739,11.44,6694,45045,9.959999999999999
2006-06-16,Investidores Não Residentes,730,0.16,790,-60,-0.010000000000000009
2006-06-19,Banco Central,3350,0.74,382774,-379424,-83.92
2006-06-19,Bancos,378697,83.75,60997,317700,70.26
2006-06-19,DTVM'S e Corretoras de Valores,17639,3.9,900,16739,3.6999999999999997
2006-06-19,Invest Institucional Nacional,51739,11.44,6694,45045,9.959999999999999
2006-06-19,Investidores Não Residentes,730,0.16,790,-60,-0.010000000000000009
2006-06-20,Banco Central,3350,0.74,382774,-379424,-83.92
2006-06-20,Bancos,378647,83.75,60947,317700,70.27
2006-06-20,DTVM'S e Corretoras de Valores,17639,3.9,900,16739,3.6999999999999997
2006-06-20,Invest Institucional Nacional,51739,11.44,6694,45045,9.959999999999999
2006-06-20,Investidores Não Residentes,730,0.16,790,-60,-0.010000000000000009
2006-06-21,Banco Central,3350,0.74,382774,-379424,-83.92
2006-06-21,Bancos,378647,83.75,60947,317700,70.27
2006-06-21,DTVM'S e Corretoras de Valores,17639,3.9,900,16739,3.6999999999999997
2006-06-21,Invest Institucional Nacional,51739,11.44,6694,45045,9.959999999999999
2006-06-21,Investidores Não Residentes,730,0.16,790,-60,-0.010000000000000009
2006-06-22,Banco Central,3350,0.74,382774,-379424,-83.92
2006-06-22,Bancos,378647,83.75,60947,317700,70.27
2006-06-22,DTVM'S e Corretoras de Valores,17639,3.9,900,16739,3.6999999999999997
2006-06-22,Invest Institucional Nacional,51739,11.44,6694,45045,9.959999999999999
2006-06-22,Investidores Não Residentes,730,0.16,790,-60,-0.010000000000000009
2006-06-23,Banco Central,3350,0.74,382774,-379424,-83.92
2006-06-23,Bancos,378647,83.75,60947,317700,70.27
2006-06-23,DTVM'S e Corretoras de Valores,17639,3.9,900,16739,3.6999999999999997
2006-06-23,Invest Institucional Nacional,51739,11.44,6694,45045,9.959999999999999
2006-06-23,Investidores Não Residentes,730,0.16,790,-60,-0.010000000000000009
2006-06-26,Banco Central,3350,0.74,382774,-379424,-83.92
2006-06-26,Bancos,378647,83.75,60947,317700,70.27
2006-06-26,DTVM'S e Corretoras de Valores,17639,3.9,900,16739,3.6999999999999997
2006-06-26,Invest Institucional Nacional,51739,11.44,6694,45045,9.959999999999999
2006-06-26,Investidores Não Residentes,730,0.16,790,-60,-0.010000000000000009
2006-06-27,Banco Central,3350,0.74,382774,-379424,-83.92
2006-06-27,Bancos,378647,83.75,60947,317700,70.27
2006-06-27,DTVM'S e Corretoras de Valores,17639,3.9,900,16739,3.6999999999999997
2006-06-27,Invest Institucional Nacional,51739,11.44,6694,45045,9.959999999999999
2006-06-27,Investidores Não Residentes,730,0.16,790,-60,-0.010000000000000009
2006-06-28,Banco Central,3350,0.74,382774,-379424,-83.92
2006-06-28,Bancos,378647,83.75,60947,317700,70.27
