date,sector,compra,compra_pc,venda,net,net_pc
2013-09-11,DTVM'S e Corretoras de Valores,85,0.01,540,-455,-0.049999999999999996
2013-09-11,Invest Institucional Nacional,313013,35.89,345628,-32615,-3.740000000000002
2013-09-11,Investidores Não Residentes,306143,35.1,136792,169351,19.42
2013-09-11,Outras Jurídicas Financeiras,40,0,0,40,0
2013-09-11,Pessoa Física,2295,0.26,465,1830,0.21000000000000002
2013-09-11,Pessoa Jurídica Não Financeira,73525,8.43,28235,45290,5.1899999999999995
2013-09-12,Bancos,179885,20.07,378111,-198226,-22.11
2013-09-12,DTVM'S e Corretoras de Valores,85,0.01,520,-435,-0.049999999999999996
2013-09-12,Invest Institucional Nacional,319644,35.66,351006,-31362,-3.490000000000002
2013-09-12,Investidores Não Residentes,320635,35.77,139237,181398,20.240000000000002
2013-09-12,Outras Jurídicas Financeiras,40,0,0,40,0
2013-09-12,Pessoa Física,2265,0.25,450,1815,0.2
2013-09-12,Pessoa Jurídica Não Financeira,73935,8.25,27165,46770,5.220000000000001
2013-09-13,Bancos,177585,19.8,367636,-190051,-21.179999999999996
2013-09-13,DTVM'S e Corretoras de Valores,60,0.01,490,-430,-0.04
2013-09-13,Invest Institucional Nacional,325761,36.31,352983,-27222,-3.039999999999999
2013-09-13,Investidores Não Residentes,319044,35.56,149561,169483,18.89
2013-09-13,Outras Jurídicas Financeiras,35,0,0,35,0
2013-09-13,Pessoa Física,2060,0.23,490,1570,0.18
2013-09-13,Pessoa Jurídica Não Financeira,72575,8.09,25960,46615,5.199999999999999
2013-09-16,Bancos,168316,18.77,362427,-194111,-21.639999999999997
2013-09-16,DTVM'S e Corretoras de Valores,60,0.01,475,-415,-0.04
2013-09-16,Invest Institucional Nacional,327060,36.47,351660,-24600,-2.740000000000002
2013-09-16,Investidores Não Residentes,327251,36.49,156620,170631,19.03
2013-09-16,Outras Jurídicas Financeiras,60,0.01,0,60,0.01
2013-09-16,Pessoa Física,1845,0.21,535,1310,0.15
2013-09-16,Pessoa Jurídica Não Financeira,72220,8.05,25095,47125,5.250000000000001
2013-09-17,Bancos,172436,18.94,366052,-193616,-21.26
2013-09-17,DTVM'S e Corretoras de Valores,30,0,400,-370,-0.04
2013-09-17,Invest Institucional Nacional,328922,36.12,345740,-16818,-1.8500000000000014
2013-09-17,Investidores Não Residentes,333684,36.64,173600,160084,17.580000000000002
2013-09-17,Outras Jurídicas Financeiras,40,0,0,40,0
2013-09-17,Pessoa Física,2195,0.24,435,1760,0.19
2013-09-17,Pessoa Jurídica Não Financeira,73335,8.05,24415,48920,5.370000000000001
2013-09-18,Bancos,184280,19.99,359076,-174796,-18.960000000000004
2013-09-18,DTVM'S e Corretoras de Valores,90,0.01,340,-250,-0.03
2013-09-18,Invest Institucional Nacional,312943,33.95,362502,-49559,-5.3699999999999974
2013-09-18,Investidores Não Residentes,356367,38.66,176157,180210,19.549999999999997
2013-09-18,Outras Jurídicas Financeiras,50,0.01,0,50,0.01
2013-09-18,Pessoa Física,3220,0.35,335,2885,0.31
2013-09-18,Pessoa Jurídica Não Financeira,64895,7.04,23435,41460,4.5
2013-09-19,Bancos,212710,22.01,397076,-184366,-19.080000000000002
2013-09-19,DTVM'S e Corretoras de Valores,200,0.02,390,-190,-0.02
2013-09-19,Invest Institucional Nacional,316856,32.79,371613,-54757,-5.670000000000002
2013-09-19,Investidores Não Residentes,369367,38.23,172844,196523,20.339999999999996
2013-09-19,Outras Jurídicas Financeiras,40,0,0,40,0
2013-09-19,Pessoa Física,2920,0.3,365,2555,0.26
2013-09-19,Pessoa Jurídica Não Financeira,64175,6.64,23980,40195,4.16
2013-09-20,Bancos,221640,22.13,435851,-214211,-21.390000000000004
2013-09-20,DTVM'S e Corretoras de Valores,185,0.02,365,-180,-0.02
2013-09-20,Invest Institucional Nacional,325662,32.52,365982,-40320,-4.019999999999996
2013-09-20,Investidores Não Residentes,386776,38.62,175355,211421,21.109999999999996
2013-09-20,Outras Jurídicas Financeiras,30,0,0,30,0
2013-09-20,Pessoa Física,2845,0.28,360,2485,0.24000000000000002
2013-09-20,Pessoa Jurídica Não Financeira,64335,6.42,23560,40775,4.07
2013-09-23,Bancos,248070,23.77,462441,-214371,-20.540000000000003
2013-09-23,DTVM'S e Corretoras de Valores,225,0.02,345,-120,-0.009999999999999998
2013-09-23,Invest Institucional Nacional,334055,32.01,382462,-48407,-4.640000000000001
2013-09-23,Investidores Não Residentes,392921,37.65,173933,218988,20.979999999999997
2013-09-23,Outras Jurídicas Financeiras,30,0,0,30,0
2013-09-23,Pessoa Física,3380,0.32,445,2935,0.28
2013-09-23,Pessoa Jurídica Não Financeira,64895,6.22,23950,40945,3.9299999999999997
2013-09-24,Bancos,265760,24.21,478776,-213016,-19.4
2013-09-24,DTVM'S e Corretoras de Valores,245,0.02,365,-120,-0.009999999999999998
2013-09-24,Invest Institucional Nacional,348810,31.77,401823,-53013,-4.830000000000002
2013-09-24,Investidores Não Residentes,414770,37.78,192456,222314,20.25
2013-09-24,Outras Jurídicas Financeiras,30,0,0,30,0
2013-09-24,Pessoa Física,3695,0.34,445,3250,0.30000000000000004
2013-09-24,Pessoa Jurídica Não Financeira,64615,5.89,24060,40555,3.6999999999999997
2013-09-25,Bancos,275220,24.44,503691,-228471,-20.279999999999998
2013-09-25,DTVM'S e Corretoras de Valores,295,0.03,355,-60,0
2013-09-25,Invest Institucional Nacional,366974,32.58,400141,-33167,-2.950000000000003
2013-09-25,Investidores Não Residentes,411788,36.56,192680,219108,19.450000000000003
2013-09-25,Outras Jurídicas Financeiras,30,0,100,-70,-0.01
2013-09-25,Pessoa Física,3320,0.29,550,2770,0.24
2013-09-25,Pessoa Jurídica Não Financeira,68690,6.1,28800,39890,3.5399999999999996
2013-09-26,Bancos,269980,23.37,520331,-250351,-21.66
