date,name,value
2009-01-05,CO,109.32282570943583
2009-01-05,AR,91.02850665077887
2009-01-05,BR,134.43714002229058
2009-01-05,CZ,107.85616934448403
2009-01-05,HU,104.87383025188154
2009-01-05,ID,117.9373104570515
2009-01-05,IL,102.60416971661195
2009-01-05,IN,104.78401154247443
2009-01-05,KR,114.68216185888744
2009-01-05,KW,97.37025426680599
2009-01-05,MX,105.16300902041343
2009-01-05,MY,102.94246460512737
2009-01-05,PH,102.70413501331548
2009-01-05,PL,106.79376072248697
2009-01-05,RO,101.52131174784496
2009-01-05,RU,97.18235307158977
2009-01-05,TH,105.23879584496729
2009-01-05,TR,103.39841409857233
2009-01-05,TW,103.71937648861618
2009-01-05,ZA,129.04930253849017
2009-01-06,CO,108.95251512794547
2009-01-06,AR,90.56505741981667
2009-01-06,BR,127.8532495662388
2009-01-06,CZ,108.44155008803375
2009-01-06,HU,106.65643086295842
2009-01-06,ID,116.87481216464563
2009-01-06,IL,102.77524170206378
2009-01-06,IN,105.02195347895724
2009-01-06,KR,113.85004284799362
2009-01-06,KW,97.92755137582724
2009-01-06,MX,102.8893243165429
2009-01-06,MY,103.29651634748345
2009-01-06,PH,102.16449744327495
2009-01-06,PL,105.74500856396179
2009-01-06,RO,103.89755894729709
2009-01-06,RU,97.24024245931882
2009-01-06,TH,105.61517334650875
2009-01-06,TR,102.10618371631179
2009-01-06,TW,103.95453044572791
2009-01-06,ZA,127.24478521673146
2009-01-07,CO,107.50845061465685
2009-01-07,AR,90.94146210598628
2009-01-07,BR,127.33383416982743
2009-01-07,CZ,105.16390184561844
2009-01-07,HU,104.38524891652989
2009-01-07,ID,115.28110380472401
2009-01-07,IL,103.15217501247041
2009-01-07,IN,105.43208998212546
2009-01-07,KR,113.33796931089964
2009-01-07,KW,97.89272030651341
2009-01-07,MX,103.602399410392
2009-01-07,MY,103.03020491969745
2009-01-07,PH,101.11679538291165
2009-01-07,PL,102.53075240821971
2009-01-07,RO,102.68920704013209
2009-01-07,RU,97.86262672263352
2009-01-07,TH,104.89227508946935
2009-01-07,TR,102.18730497907507
2009-01-07,TW,103.71270469621872
2009-01-07,ZA,127.41772351941844
2009-01-08,CO,108.3111978593407
2009-01-08,AR,90.98771443749949
2009-01-08,BR,131.05090099099365
2009-01-08,CZ,105.31962711552096
2009-01-08,HU,106.42122870041408
2009-01-08,ID,117.19355385362992
2009-01-08,IL,103.61495041920222
2009-01-08,IN,104.56861174647895
2009-01-08,KR,115.51059483379167
2009-01-08,KW,97.7533960292581
2009-01-08,MX,104.19188407151117
2009-01-08,MY,104.2082091498343
2009-01-08,PH,101.88063360100574
2009-01-08,PL,103.82793661125224
2009-01-08,RO,104.0813504881186
2009-01-08,RU,101.5317283952881
2009-01-08,TH,105.19388423978803
2009-01-08,TR,104.7859678708084
2009-01-08,TW,104.16856230042396
2009-01-08,ZA,131.39990926665388
2009-01-09,CO,108.63846044720995
2009-01-09,AR,90.7344517436379
2009-01-09,BR,131.78499534561288
2009-01-09,CZ,105.8520775804934
2009-01-09,HU,107.59911965447715
2009-01-09,ID,116.74731858517194
2009-01-09,IL,102.8956069608491
2009-01-09,IN,104.07082504255783
2009-01-09,KR,116.63581520471054
2009-01-09,KW,97.7533960292581
2009-01-09,MX,105.7220913446844
2009-01-09,MY,104.20773821892753
2009-01-09,PH,102.6385355402533
2009-01-09,PL,103.65276466569688
2009-01-09,RO,105.32620870096466
2009-01-09,RU,101.25704051673712
2009-01-09,TH,104.92311963183143
2009-01-09,TR,104.17468934679275
2009-01-09,TW,104.22145244731847
2009-01-09,ZA,131.737189364308
2009-01-12,CO,108.41392602593642
2009-01-12,AR,90.73502583355297
2009-01-12,BR,132.17218001153876
2009-01-12,CZ,108.59351456557071
2009-01-12,HU,111.2306046570813
2009-01-12,ID,118.73422383941714
2009-01-12,IL,103.76810868966896
2009-01-12,IN,105.49688270728407
2009-01-12,KR,118.32169043519933
2009-01-12,KW,98.41518634622084
2009-01-12,MX,105.7608496990639
2009-01-12,MY,105.12134417808723
2009-01-12,PH,103.51185859317941
2009-01-12,PL,105.85772180380462
2009-01-12,RO,108.74319210183351
2009-01-12,RU,103.54697853501911
2009-01-12,TH,105.27018849382324
2009-01-12,TR,105.93851569306605
2009-01-12,TW,104.51792589883537
2009-01-12,ZA,136.5383457376444
2009-01-13,CO,108.41392602593642
2009-01-13,AR,90.6463795198272
2009-01-13,BR,134.0494371338473
2009-01-13,CZ,110.47928096277597
2009-01-13,HU,111.66625782746138
2009-01-13,ID,119.65852243705568
2009-01-13,IL,104.25702268201053
2009-01-13,IN,105.66911183124148
2009-01-13,KR,118.20251977074021
2009-01-13,KW,98.6590038314176
2009-01-13,MX,107.10181321726178
2009-01-13,MY,105.32649345435475
2009-01-13,PH,103.42597302456498
2009-01-13,PL,109.52395314159222
2009-01-13,RO,109.935947098549
2009-01-13,RU,104.10198853914143
2009-01-13,TH,105.13486642132777
2009-01-13,TR,107.59596804935188
2009-01-13,TW,104.51508362723911
2009-01-13,ZA,137.32926531874514
2009-01-14,CO,108.9344154033548
2009-01-14,AR,90.85942646799232
2009-01-14,BR,134.13533828081015
2009-01-14,CZ,111.85736228752958
2009-01-14,HU,112.30736256310763
2009-01-14,ID,118.2242083815885
2009-01-14,IL,103.48838323531808
2009-01-14,IN,104.97791239563084
2009-01-14,KR,116.79136488478639
2009-01-14,KW,98.86799024730058
2009-01-14,MX,106.91722539825403
2009-01-14,MY,105.15107169157791
2009-01-14,PH,102.58790846392985
2009-01-14,PL,110.32251978268157
2009-01-14,RO,110.85190801636926
2009-01-14,RU,105.89029520953981
2009-01-14,TH,105.13418279399754
2009-01-14,TR,107.56787138494663
2009-01-14,TW,104.55291350760021
2009-01-14,ZA,136.91780457999045
2009-01-15,CO,109.30276925786238
2009-01-15,AR,90.8673774833224
2009-01-15,BR,138.16644603607165
2009-01-15,CZ,114.24541617163709
2009-01-15,HU,114.6926844457581
2009-01-15,ID,119.58420311462297
2009-01-15,IL,103.30354989674993
2009-01-15,IN,105.35709422241072
2009-01-15,KR,120.13880256917564
2009-01-15,KW,99.04214559386972
2009-01-15,MX,109.69226344549898
2009-01-15,MY,105.78176590848753
2009-01-15,PH,103.17802073056545
2009-01-15,PL,113.35865815834842
2009-01-15,RO,111.90973952137917
2009-01-15,RU,107.74693296096183
2009-01-15,TH,105.08863273510016
2009-01-15,TR,108.86651833512573
2009-01-15,TW,104.9196608666929
2009-01-15,ZA,138.78710224122264
2009-01-16,CO,110.04828223829999
2009-01-16,AR,90.78996347825804
2009-01-16,BR,134.26454260700257
2009-01-16,CZ,112.08340944786586
2009-01-16,HU,111.66724855423742
2009-01-16,ID,117.1723437102178
2009-01-16,IL,101.68684377377292
2009-01-16,IN,104.81602021565854
2009-01-16,KR,116.89519502656292
2009-01-16,KW,99.04214559386972
2009-01-16,MX,106.60853838530136
2009-01-16,MY,105.29626557677558
2009-01-16,PH,102.74025553949835
2009-01-16,PL,110.48068304083066
2009-01-16,RO,109.81066099910812
2009-01-16,RU,108.4127075940815
2009-01-16,TH,105.02836511337101
2009-01-16,TR,108.03753622054344
2009-01-16,TW,104.89040181860108
2009-01-16,ZA,135.07922819436556
2009-01-19,CO,108.974039124756
2009-01-19,AR,90.99694697522544
2009-01-19,BR,134.985629760079
2009-01-19,CZ,115.06586012359594
2009-01-19,HU,114.69818249946522
2009-01-19,ID,117.83107674591
2009-01-19,IL,102.64838172343246
2009-01-19,IN,105.01110033572174
2009-01-19,KR,118.23435375726736
2009-01-19,KW,98.97248345524207
2009-01-19,MX,107.71086205964886
2009-01-19,MY,105.38518321861261
2009-01-19,PH,102.60043407760165
2009-01-19,PL,115.55470765397948
2009-01-19,RO,111.21540457125695
2009-01-19,RU,110.26872857881787
2009-01-19,TH,105.17891972787656
2009-01-19,TR,110.97646390780722
2009-01-19,TW,105.39981297601369
2009-01-19,ZA,137.16226691679643
2009-01-20,CO,108.974039124756
2009-01-20,AR,90.93944188295502
2009-01-20,BR,136.21852547363713
2009-01-20,CZ,118.10015170718896
2009-01-20,HU,118.41820850876252
2009-01-20,ID,120.15795653814014
2009-01-20,IL,103.76786913033038
2009-01-20,IN,106.13398921307716
2009-01-20,KR,119.27346881218897
2009-01-20,KW,100.08707767328455
2009-01-20,MX,108.45857916713784
2009-01-20,MY,106.26903223109991
2009-01-20,PH,103.40473782099036
2009-01-20,PL,118.7154127464857
2009-01-20,RO,114.48912115496144
2009-01-20,RU,111.17038813127529
2009-01-20,TH,105.30028315422398
2009-01-20,TR,112.5728179344753
2009-01-20,TW,105.77617815458977
2009-01-20,ZA,140.78273178214732
2009-01-21,CO,109.83499899717744
2009-01-21,AR,91.08032405473367
2009-01-21,BR,136.8634441092701
2009-01-21,CZ,116.96438146434085
2009-01-21,HU,117.54017237110223
2009-01-21,ID,118.99980874945737
2009-01-21,IL,104.19872990962224
2009-01-21,IN,106.28502608998443
2009-01-21,KR,119.00970400540683
2009-01-21,KW,100.19157088122606
2009-01-21,MX,107.53392107587271
2009-01-21,MY,106.44507209069187
2009-01-21,PH,103.39631557571816
2009-01-21,PL,118.07080102851705
2009-01-21,RO,113.81709183004544
2009-01-21,RU,109.54139062884695
2009-01-21,TH,105.2394704375751
2009-01-21,TR,111.68528009647389
2009-01-21,TW,105.62344378555866
2009-01-21,ZA,139.3419380152285
2009-01-22,CO,109.86875253763029
2009-01-22,AR,91.37161923942911
2009-01-22,BR,134.58012425034403
2009-01-22,CZ,116.78683046057881
2009-01-22,HU,116.12284227119964
2009-01-22,ID,119.5310578956603
2009-01-22,IL,105.00298384465057
2009-01-22,IN,105.66929325691943
2009-01-22,KR,119.62338671451201
2009-01-22,KW,100.08707767328455
2009-01-22,MX,106.23117631682626
2009-01-22,MY,106.2033668027853
2009-01-22,PH,102.95791692035169
2009-01-22,PL,116.83067483457737
2009-01-22,RO,113.50150980136415
2009-01-22,RU,108.78920865000275
2009-01-22,TH,105.14995440777906
2009-01-22,TR,111.0435738040456
