date,sector,compra,compra_pc,venda,venda_pc,net,net_pc
2007-05-24,Pessoa Jurídica Não Financeira,4212,0.27,14860,0.96,-10648,-0.69
2007-05-25,Bancos,1043208,67.26,907258,58.49,135950,8.770000000000003
2007-05-25,DTVM'S e Corretoras de Valores,610,0.04,4899,0.32,-4289,-0.28
2007-05-25,Invest Institucional Nacional,324246,20.91,289333,18.65,34913,2.2600000000000016
2007-05-25,Investidores Não Residentes,178747,11.52,334673,21.58,-155926,-10.059999999999999
2007-05-25,Pessoa Jurídica Não Financeira,4212,0.27,14860,0.96,-10648,-0.69
2007-05-28,Bancos,1038983,66.99,902963,58.22,136020,8.769999999999996
2007-05-28,DTVM'S e Corretoras de Valores,610,0.04,4899,0.32,-4289,-0.28
2007-05-28,Invest Institucional Nacional,325522,20.99,290639,18.74,34883,2.25
2007-05-28,Investidores Não Residentes,181553,11.71,337519,21.76,-155966,-10.05
2007-05-28,Pessoa Jurídica Não Financeira,4212,0.27,14860,0.96,-10648,-0.69
2007-05-29,Bancos,1046175,67.42,907375,58.47,138800,8.950000000000003
2007-05-29,DTVM'S e Corretoras de Valores,610,0.04,4899,0.32,-4289,-0.28
2007-05-29,Invest Institucional Nacional,312891,20.16,278498,17.95,34393,2.210000000000001
2007-05-29,Investidores Não Residentes,187945,12.11,346201,22.31,-158256,-10.2
2007-05-29,Pessoa Jurídica Não Financeira,4212,0.27,14860,0.96,-10648,-0.69
2007-05-30,Bancos,1048474,67.51,902767,58.13,145707,9.380000000000003
2007-05-30,DTVM'S e Corretoras de Valores,610,0.04,4899,0.32,-4289,-0.28
2007-05-30,Invest Institucional Nacional,311730,20.07,284244,18.3,27486,1.7699999999999996
2007-05-30,Investidores Não Residentes,187945,12.1,346201,22.29,-158256,-10.19
2007-05-30,Pessoa Jurídica Não Financeira,4212,0.27,14860,0.96,-10648,-0.69
2007-05-31,Bancos,1054405,67.6,909487,58.31,144918,9.289999999999992
2007-05-31,DTVM'S e Corretoras de Valores,610,0.04,4899,0.31,-4289,-0.27
2007-05-31,Invest Institucional Nacional,312653,20.05,284375,18.23,28278,1.8200000000000003
2007-05-31,Investidores Não Residentes,187868,12.04,346127,22.19,-158259,-10.150000000000002
2007-05-31,Pessoa Jurídica Não Financeira,4212,0.27,14860,0.95,-10648,-0.6799999999999999
2007-06-01,Bancos,871705,67.99,747778,58.32,123927,9.669999999999995
2007-06-01,DTVM'S e Corretoras de Valores,610,0.05,4899,0.38,-4289,-0.33
2007-06-01,Invest Institucional Nacional,272124,21.22,199764,15.58,72360,5.639999999999999
2007-06-01,Investidores Não Residentes,136769,10.67,314807,24.55,-178038,-13.88
2007-06-01,Pessoa Jurídica Não Financeira,900,0.07,14860,1.16,-13960,-1.0899999999999999
2007-06-04,Bancos,884843,68.25,760741,58.68,124102,9.57
2007-06-04,DTVM'S e Corretoras de Valores,610,0.05,4899,0.38,-4289,-0.33
2007-06-04,Invest Institucional Nacional,272651,21.03,200386,15.46,72265,5.57
2007-06-04,Investidores Não Residentes,137507,10.61,315625,24.34,-178118,-13.73
2007-06-04,Pessoa Jurídica Não Financeira,900,0.07,14860,1.15,-13960,-1.0799999999999998
2007-06-05,Bancos,910342,68.87,786176,59.47,124166,9.400000000000006
2007-06-05,DTVM'S e Corretoras de Valores,610,0.05,4899,0.37,-4289,-0.32
2007-06-05,Invest Institucional Nacional,271267,20.52,199051,15.06,72216,5.459999999999999
2007-06-05,Investidores Não Residentes,138793,10.5,316926,23.97,-178133,-13.469999999999999
2007-06-05,Pessoa Jurídica Não Financeira,900,0.07,14860,1.12,-13960,-1.05
2007-06-06,Bancos,910981,68.58,786867,59.24,124114,9.339999999999996
2007-06-06,DTVM'S e Corretoras de Valores,610,0.05,4899,0.37,-4289,-0.32
2007-06-06,Invest Institucional Nacional,271481,20.44,199153,14.99,72328,5.450000000000001
2007-06-06,Investidores Não Residentes,144333,10.87,322526,24.28,-178193,-13.410000000000002
2007-06-06,Pessoa Jurídica Não Financeira,900,0.07,14860,1.12,-13960,-1.05
2007-06-08,Bancos,925289,68.91,801323,59.68,123966,9.229999999999997
2007-06-08,DTVM'S e Corretoras de Valores,610,0.05,4899,0.36,-4289,-0.31
2007-06-08,Invest Institucional Nacional,271717,20.24,199395,14.85,72322,5.389999999999999
2007-06-08,Investidores Não Residentes,144187,10.74,322226,24,-178039,-13.26
2007-06-08,Pessoa Jurídica Não Financeira,900,0.07,14860,1.11,-13960,-1.04
2007-06-11,Bancos,920602,68.8,796371,59.52,124231,9.279999999999994
2007-06-11,DTVM'S e Corretoras de Valores,610,0.05,4899,0.37,-4289,-0.32
2007-06-11,Invest Institucional Nacional,272378,20.36,200107,14.95,72271,5.41
2007-06-11,Investidores Não Residentes,143573,10.73,321826,24.05,-178253,-13.32
2007-06-11,Pessoa Jurídica Não Financeira,900,0.07,14860,1.11,-13960,-1.04
2007-06-12,Bancos,954734,69.06,830370,60.07,124364,8.990000000000002
2007-06-12,DTVM'S e Corretoras de Valores,610,0.04,4899,0.35,-4289,-0.31
2007-06-12,Invest Institucional Nacional,275028,19.89,202840,14.67,72188,5.220000000000001
2007-06-12,Investidores Não Residentes,149043,10.78,327167,23.67,-178124,-12.890000000000002
2007-06-12,Pessoa Jurídica Não Financeira,3021,0.22,17160,1.24,-14139,-1.02
2007-06-13,Bancos,957655,69.03,833291,60.06,124364,8.969999999999999
2007-06-13,DTVM'S e Corretoras de Valores,610,0.04,4899,0.35,-4289,-0.31
2007-06-13,Invest Institucional Nacional,274809,19.81,202582,14.6,72227,5.209999999999999
2007-06-13,Investidores Não Residentes,151061,10.89,329152,23.72,-178091,-12.829999999999998
2007-06-13,Pessoa Jurídica Não Financeira,3249,0.23,17460,1.26,-14211,-1.03
